ARTIST	TITLE	ACOUSTIC	DANCE	DURATION	ENERGY	INSTRUMENTAL	LIVE	LOUD	SPEECH	TEMPO	VALENCE	RATING
Oasis	Fuckin' In The Bushes - Live at Wembley Stadium, 2000	0.00206	0.359	184227.0	0.963	0.0306	0.9840000000000001	6.4270000000000005	0.1	100.461	0.122	GOOD
Oasis	Go Let It Out - Live from Wembley Stadium, 2000	0.000155	0.292	332185.0	0.9309999999999999	0.0518	0.899	4.388	0.0443	85.177	0.495	GOOD
Oasis	Who Feels Love? - Live at Wembley Stadium, 2000	0.000917	0.332	359724.0	0.879	0.00479	0.951	5.393	0.0364	79.983	0.163	GOOD
Oasis	Supersonic - Live at Wembley Stadium, 2000	5.9e-05	0.307	270187.0	0.99	0.289	0.987	4.479	0.0619	119.476	0.204	GOOD
Oasis	Shakermaker - Live at Wembley Stadium, 2000	0.0043	0.245	312959.0	0.9520000000000001	0.0182	0.9840000000000001	4.393	0.0833	104.98299999999999	0.12300000000000001	GOOD
Oasis	Acquiesce - Live at Wembley Stadium, 2000	0.000488	0.301	258392.0	0.99	0.00976	0.975	4.1	0.147	125.211	0.109	GOOD
Oasis	Step Out - Live at Wembley Stadium, 2000	0.000122	0.26	245435.0	0.98	0.24100000000000002	0.992	3.855	0.0796	137.657	0.293	GOOD
Oasis	Gas Panic! - Live at Wembley Stadium, 2000	0.000586	0.257	481396.0	0.951	0.11699999999999999	0.985	3.8930000000000002	0.0589	148.105	0.369	GOOD
Oasis	Roll With It - Live at Wembley Stadium, 2000	0.00201	0.25	283655.0	0.983	3.45e-05	0.943	4.454	0.0881	131.56799999999998	0.26899999999999996	GOOD
Oasis	Stand by Me - Live at Wembley Stadium, 2000	0.00037799999999999997	0.275	349000.0	0.904	0.0161	0.991	4.824	0.0404	91.67299999999999	0.221	GOOD
Oasis	Wonderwall - Live at Wembley Stadium, 2000	0.0216	0.139	286441.0	0.924	0.0166	0.982	5.066	0.0534	92.99	0.433	GOOD
Oasis	Cigarettes & Alcohol - Live at Wembley Stadium, 2000	0.000542	0.165	411968.0	0.9590000000000001	0.0108	0.9690000000000001	4.077	0.0696	130.082	0.154	GOOD
