COUNTRY,RESULT,NAME,DATE,PLACE
New Zealand,2:08:26,Jake Robertson,04.03.2018,Otsu
Nicaragua,2:20:39,William Aguirre,13.01.1990,Tegucigalpa
Niger,2:25:05,Abdou Manzo,02.10.1988,Seoul
Nigeria,2:16:06,Mohamed Abbas,11.11.1990,Lagos
Niue,3:30:00,Simpson Ikimau,19.10.1982,Paliati
Norfolk Island,3:30:20,James Donaldson,28.07.2002,"Manchester, UK"
North Korea,2:09:26,Li Jong Hyong,19.10.1983,Pyongyang
Northern Ireland,2:13:06,Gregory Hannon,13.05.1979,Coventry
Northern Mariana Islands,2:55:31,Yong Choi,14.07.1990,"San Antonio, Saipan"
Norway,2:05:48,Sondre Nordstad Moen,03.12.2017,Fukuoka
Oman,2:46:59,Awad Shaaban Al-Sameer,02.10.1988,Seoul
Pakistan,2:14:11,Naseer Ahmad,19.12.2003,Rawalpindi
Palau,3:59:46,Joynal Chilton,02.04.2011,Koror
Palestinian territories,2:29:28,Ihab Salama,16.04.2000,Rotterdam
Panama,2:22:51,Juan Solis,24.08.1985,Panama City
Papua New Guinea,2:28:13,Tau John Tokwepota,07.12.1980,Honolulu
Paraguay,2:13:41,Derlis Ramón Ayala,23.09.2018,Buenos Aires
People's Republic of China,2:08:15,Ren Longyun,21.10.2007,Beijing
Peru,2:11:01,Raúl Pacheco,12.04.2015,Rotterdam
Philippines,2:18:44,Eduardo Buenavista,01.02.2004,Ōita
Poland,2:07:39,Henryk Szost,04.03.2012,Ōtsu
Portugal,2:06:36,António Pinto,16.04.2000,London
Puerto Rico,2:12:43,Jorge González,28.08.1983,Caracas
Qatar,2:07:19,Mubarak Hassan Shami,15.04.2007,Paris
Republic of the Congo,2:26:01,Bernard Tsati,16.09.1990,Puteaux
Réunion,2:19:17,Jean-Jacques Prianon,01.05.1977,Nogent sur Marne
Romania,2:12:30,Catalin Andreica,03.09.1978,Prague
Russia,2:09:07,Aleksey Sokolov,29.10.2007,Dublin
Rwanda,2:09:55,Mathias Ntawulikuri,16.04.2000,London
Saint Helena,4:06:47,Erroll Duncan,19.03.2006,Melbourne
Saint Kitts and Nevis,2:38:48,Jesse Mulcaire,05.11.1989,New York City
Saint Lucia,2:16:06,Joseph Zepherinus,05.10.2003,"Saint Paul, USA"
Saint Vincent and the Grenadines,2:15:30,Pamenos Ballantyne,26.01.2003,Port-of-Spain
San Marino,2:21:19,Gian Luigi Macina,27.10.1991,Carpi
Sao Tome and Principe,2:38:32,Mario Pitra,29.06.1980,Brazzaville
Saudi Arabia,2:20:35,Abdullah Al-Sadiq,30.09.2001,Budapest
Scotland,2:09:16,Allister Hutton,21.04.1985,London
Senegal,2:25:01,Samba Faye,14.02.2016,Dakar
Serbia,2:13:57,Borislav Devic,15.01.1995,Houston
Seychelles,2:25:48,Albert Marie,23.10.1988,Victoria
Sierra Leone,2:33:38,Idrissa Kargbo,13.04.2014,London
Singapore,2:24:22,Murugiah Rameshon,13.12.1995,Chiang Mai
Slovakia,2:09:53,Robert Stefko,26.04.1998,London
Slovenia,2:11:50,Roman Kejžar,26.03.2000,Turin
Solomon Islands,2:36:16,Mackay Talasasa,08.10.1982,Brisbane
Somalia,2:17:24,Ahmed Mohamed Ismail,19.10.1986,Detroit
South Africa,2:06:33,Gert Thys,14.02.1999,Tokyo
South Korea,2:07:20,Lee Bong-Ju,13.02.2000,Tokyo
South Sudan,2:14:32,Guor Marial,02.10.2011,"Saint Paul, USA"
Spain,2:06:52,Julio Rey,23.04.2006,Hamburg
Sri Lanka,2:13:47,Anuradha Cooray,26.04.2015,London
Sudan,2:19:51,John Narat,10.03.1977,Khartoum
Suriname,2:39:11,Radjinder Patan,27.11.2005,Paramaribo
Swaziland,2:12:54,Richard Mabuza,31.01.1974,Christchurch
Sweden,2:10:38,Kjell-Erik Ståhl,14.08.1983,Helsinki
Switzerland,2:06:40,Tadesse Abraham,20.03.2016,Seoul
Syria,2:26:27,Ahmed Saker,26.12.1985,Latakia
Tajikistan,2:18:40,Anatoliy Belogurov,20.06.1980,Moscow
Tanzania,2:08:01,Juma Ikangaa / Samson Ramadhani,05.11.1989 / 13.04.2003,New York City / London
Thailand,2:19:33,Jirattikam Boonma,29.01.1995,Chiang Mai
Togo,2:30:17,Outcha Améwouho,11.11.1990,Lomé
Tonga,2:58:51,Matthew Kaea,07.03.2010,Napa County
Trinidad and Tobago,2:13:03,Ronnie Holassie,29.04.2001,Cleveland
Tunisia,2:12:36,Tahar Manjouri,14.01.1996,Marrakesh
Turkey,2:06:10,Kaan Kigen Özbilen,20.03.2016,Seoul
Turkmenistan,2:15:53,Rashid Kakadshanov,05.10.1980,Uzhgorod
Uganda,2:06:33,Stephen Kiprotich,22.02.2015,Tokyo
Ukraine,2:07:15,Dmytry Baranovskiy,03.12.2006,Fukuoka
United Arab Emirates,2:23:42,Jassim Abbas Ali,11.01.2002,Dubai
United States,2:05:38,Khalid Khannouchi,14.04.2002,London
United States Virgin Islands,2:25:17,Eduardo Garcia,09.04.2017,Rotterdam
Uruguay,2:12:48,Néstor García,24.10.1999,Chicago
Uzbekistan,2:13:28,Vladimir Beloborodov,15.06.1985,Mogilev
Venezuela,2:11:25,Carlos Tarazona,30.04.2000,Cleveland
Viet Nam,2:21:51,Nguyen Chi Dong,12.12.2003,Hanoi
Wales,2:07:13,Steve Jones,20.10.1985,Chicago
Yemen,2:40:41,Mohamed Al-Saadi,04.08.1996,Atlanta
Zambia,2:11:35,Jordan Chipangama,20.06.2015,Duluth
Zimbabwe,2:09:52,Cuthbert Nyasango,11.05.2014,Prague
